
|                                                                                                                        :address |                                                                                        :address-c | :postal-c | :c | :score |                  :x |                 :y |                                  :id |
|                                                                                     Rua Carlos Mardel, 132 - 1º 1900-127 LISBOA |                                                           Rua Carlos Mardel 132, 1900-127, Lisboa |  1900-127 |  2 |  99.39 |   -9.13249003194855 | 38.740899990657766 | fa71fdd9-5080-34c2-9cf8-7ec157f4300e |
|                                                                 Rua da Independência da Guiné –113 R/C 2 4480-755 VILA DO CONDE |                                 Rua da Independência da Guiné 113, 4480-755, Vila do Conde, Porto |  4480-755 |  3 |  99.39 |   -8.75044003536479 |  41.35316001314351 | 4e1bbf96-9719-3b5b-af7c-ae7b13d1a28e |
|                                                                                      Avª Manuel da Maia, 11 r/c 1000-198 LISBOA |                                                       Avenida Manuel da Maia 11, 1000-198, Lisboa |  1000-198 |  4 |  99.38 |  -9.136909977131012 |  38.73538000450253 | a4031653-1fd4-384e-923b-92ee7ebbe977 |
|                                                                             Rua Silvestre Bernartdo Lima, 16, 2090-144 ALPIARÇA |                                      Rua Silvestre Bernardo Lima 16, 2090-144, Alpiarça, Santarém |  2090-144 |  1 |  99.37 |  -8.584373373393934 |  39.25884795360725 | d0fcba1f-c5ba-3766-bbcc-acd6179941f0 |
|                                                                     Urbanização Vila Rosa Lote 16/16 A – Loja D 4 8500 PORTIMÃO |                                                Urbanização Vila Rosa 16, 8500-782, Portimão, Faro |  8500-782 |  2 |  99.35 |    -8.5388099721348 |  37.12561001867317 | 38af49e3-95e7-35b3-931f-851dbda926ee |
|                                                                                       Rua da República, 56 – 1º 2670-469 LOURES |                                                     Rua da República 56, 2670-469, Loures, Lisboa |  2670-469 |  7 |  99.35 |   -9.16720997037703 | 38.830429990231266 | 58b9769e-be6e-34c6-b6a4-fe03313632dc |
|                                                                                         Rua Costa Cabral, 279-1º 4200-222 PORTO |                                                          Rua de Costa Cabral 279, 4200-222, Porto |  4200-222 |  3 |  99.35 |  -8.601490011718823 |  41.16397999746911 | b766ff8a-b51d-3d8c-aaa2-02c67c47d2e9 |
|                                                                                       Avª da Liberdade, 362 - 1º 4710-250 BRAGA |                                                         Avenida da Liberdade 362, 4710-250, Braga |  4710-250 |  1 |  99.35 |   -8.42033001055026 | 41.547090011437945 | 9de52979-12ba-3f95-8990-08de9e8e7e04 |
|                                                                                        Rua D. Fernando, 55 –1º 2550-142 CADAVAL |                                                    Rua Dom Fernando 55, 2550-142, Cadaval, Lisboa |  2550-142 |  1 |  99.33 |   -9.10394001244751 |  39.24195000400857 | d6e05f46-ac92-3cf4-be35-8ed70f4b8185 |
|                                                                                        Rua dos Castelos, 23 – 1º 4250-117 PORTO |                                                              Rua dos Castelos 23, 4250-117, Porto |  4250-117 |  6 |  99.33 |  -8.627499979281566 | 41.167019988022275 | 2900b077-b0c7-36e9-931f-c5e9ee370d7b |
|                                                                                        Praça de Gôa –Lote 14 r/c 3510-069 VISEU |                                                                  Praça de Goa 14, 3510-069, Viseu |  3510-069 |  1 |  99.33 |  -7.918790033049305 | 40.653730007192934 | 056f85d4-46cd-3877-8e04-2a566b87e038 |
|                                                                                         Rua 4 de Outubro,20 r/c 8800-362 TAVIRA |                                                       Rua 4 de Outubro 20, 8800-362, Tavira, Faro |  8800-362 |  1 |  99.33 | -7.6462900022260385 |  37.12335000611998 | cc6fa89b-8dca-3629-b19d-e59c3ac65add |
|                                                                                          Rua João XXIII, 209 - 1º 4820-268 FAFE |                                                         Rua João XXIII 209, 4820-268, Fafe, Braga |  4820-268 |  1 |  99.29 |   -8.16992993652714 |  41.44972986734584 | 5732dbe9-8bda-3c0f-bde6-cfe29fbda381 |
|                                                                                            Rua da Fábrica, 65-2º 4050-247 PORTO |                                                                Rua da Fábrica 65, 4050-247, Porto |  4050-247 |  2 |  99.29 |  -8.613230040582465 |   41.1474500043073 | 0cc8e1e1-9015-3cbd-8d58-075c2b00555c |
|                                                                                           Rua do Rosário, 5 – 2º 4050-523 PORTO |                                                                 Rua do Rosário 5, 4050-523, Porto |  4050-523 |  3 |  99.26 |  -8.620539982160807 |  41.14758000762555 | dd02ded2-636f-3be7-8653-14164f72de37 |
|                                                                            Rua Dr. Manuel Pacheco Nobre 31 –A –1º 2830 BARREIRO |                                   Rua Doutor Manuel Pacheco Nobre 31, 2830-080, Barreiro, Setúbal |  2830-080 |  1 |  99.25 |  -9.064559987310588 | 38.659739991957196 | 90afbb92-6de8-3b7e-a3a2-de8f71487e81 |
|                                                                Rua Guilherme Gomes Fernandes, Lote 5, Loja 2645-048 ALCABIDECHE |                           Rua Guilherme Gomes Fernandes 5, 2645-048, Alcabideche, Cascais, Lisboa |  2645-048 |  1 |  99.25 |  -9.409839999587206 |  38.73099999908871 | eb654b9d-d227-302e-82a2-c544e8caf0e3 |
|                                                             Quinta do Amieiro de Baixo, lote 1 A – nº 6 6000-129 CASTELO BRANCO |                                            Quinta do Amieiro de Baixo 1, 6000-129, Castelo Branco |  6000-129 |  6 |  99.22 |  -7.484539974240846 | 39.824640005745295 | 5cf1d626-e4bf-3a70-8c97-69113b7aabb4 |
|                                                                                                Rua Sousa Porto 49 r/c 7800 BEJA |                                                                Rua Sousa Porto 49, 7800-071, Beja |  7800-071 |  1 |   99.2 |  -7.853359974852452 |  38.00995997991876 | e39f2c49-c0d9-3500-9f78-fac947032f06 |
|                                                                                   Rua de Badajoz, 50 – ABC 7370-099 Campo Maior |                                              Rua de Badajoz 50, 7370-099, Campo Maior, Portalegre |  7370-099 |  1 |  99.12 |  -7.065039969545353 | 39.014830016072295 | f0af7cdf-c99c-3b1c-807e-f2434fcae135 |
|                                                              Rua Joaquim Rodrigues Parracho, Lote 25 r/c Dtº 2130-060 BENAVENTE |                                  Rua Joaquim Rodrigues Parracho 25, 2130-060, Benavente, Santarém |  2130-060 |  1 |  99.07 |  -8.803820018099543 | 38.976510008320446 | 6604871b-f598-373f-a4c8-cf8d86a816ae |
|                                                          Rua Padre António Vieira, Lote 1 R/C D - Loja E 5300-224 BRAGANÇA (SÉ) |                                                    Rua Padre António Vieira 1, 5300-224, Bragança |  5300-224 |  1 |  99.02 |  -6.769400018625618 |   41.8002799813637 | cf67a92b-bf81-357e-bf05-9bcef2ea81ed |
|                                                               Rua dos Combatentes do Ultramar, Lote 1 - R/C Esq 2670-506 LOURES |                       Rua Combatentes do Ultramar 1, 2670-506, Pinheiro de Loures, Loures, Lisboa |  2670-506 | 12 |     99 |  -9.189420002135165 |  38.83771998288003 | f1a24e48-b1af-33dc-bd8e-4aa7904aeb0c |
|                                                                            Rua Miguel de Almeida e Silva -E N 1 3750-181 ÁGUEDA |                            Rua Miguel Almeida e Silva & N1, 3750-181, Póvoa Marta, Águeda, Aveiro |  3750-181 |  3 |  98.99 |  -8.450989922718605 | 40.568250059414765 | 92aba0f8-cf8f-3b8b-95c7-ab3dd8f3d167 |
|                                                                            Rua Sacadura Cabral, 34 2600-230 VILA FRANCA DE XIRA |                                     Rua Sacadura Cabral 34, 2600-231, Vila Franca de Xira, Lisboa |  2600-231 |  2 |  98.93 |  -8.986850021866559 |  38.95694999907025 | 98554559-0208-36af-8642-0f228f5e7f15 |
|                                                            Rua José Prudêncio Vieira, Lote 17 - Loja C 8365-149 ARMAÇÃO DE PERA |                             Rua José Prudêncio Vieira 17, 8365-112, Armação de Pêra, Silves, Faro |  8365-112 |  1 |  98.93 |  -8.359289974141547 | 37.103779980495474 | 5d682ecf-4e50-3545-be30-632dc5ef1aa4 |
|                                                                             Avª Barbosa do Bocage, 23 A e B R/C 1000-070 LISBOA |                                                   Avenida Barbosa du Bocage 23A, 1000-070, Lisboa |  1000-070 |  2 |  98.93 |  -9.144120006423492 |  38.74056002066496 | cda4577b-d85e-3091-92b9-c85fdb79623e |
|                                                                                          Rua 5 de Outubro, 6 –1º C 2100 CORUCHE |                                                   Rua 5 de Outubro 6, 2100-127, Coruche, Santarém |  2100-127 |  6 |  98.93 |  -8.522830041368877 |  38.95903001025275 | c0a62e89-0e70-3164-8091-f514c83d622f |
|                                                                                  Rua Conde Alto Mearim 1416 4450-031 MATOSINHOS |                            Rua do Conde Alto Mearim 1416, 4450-125, Carcavelos, Matosinhos, Porto |  4450-125 |  3 |  98.93 |  -8.679800037611187 | 41.180010010106486 | 14287a15-a5ca-3d48-872e-75a4975599e0 |
|                                                                                        Rua Eng.º Matos, 253 ; 4560-465 Penafiel |                                               Rua Engenheiro Matos 253, 4560-488, Penafiel, Porto |  4560-488 |  3 |  98.93 |  -8.290624585138005 | 41.201178674214134 | 89383d9a-e30e-3411-bd79-5e5f4c91498f |
