
|                                                                                :pr/k | :nec |                                    :imt/name | :imt/nec |                                                                :obs |
|                                                                   juiz-de-fora-00792 |  792 |                                 Juíz de Fora |      792 |                                                                     |
|                                                                      miradouro-00793 |  793 |                                    Miradouro |      793 |                                                                     |
|                                                                      via-verde-00794 |  794 |                                    Via Verde |      794 |                                                                     |
|                                                                     nascimento-00795 |  795 |                                   Nascimento |      795 |                                                                     |
|                                                                    instrumovel-00796 |  796 |                                  Instromóvel |      796 |                                                                     |
|                                                                nova-de-gervide-00797 |  797 |                              Nova de Gervide |      797 |                                                                     |
|                                                                           jevi-00799 |  799 |                                         Jevi |      799 |                                                                     |
|                                                                        giraldo-00800 |  800 |                                      Giraldo |      800 |                                                                     |
|                                                                    sobre-rodas-00801 |  801 |                                  Sobre Rodas |      801 |                                                                     |
|                                                                   siiimplesado-00802 |  802 |                                 Siiimplesado |      802 |                                                                     |
|                                                                     novoensino-00803 |  803 |                                   Novoensino |      803 |                                                                     |
|                                                                        galaxia-00804 |  804 |                                      Galáxia |      804 |                                                                     |
|                                                                       nova-era-00805 |  805 |                                     Nova Era |      805 |                                                                     |
|                                                                        s-pedro-00806 |  806 |                                     S. Pedro |      806 |                                                                     |
|                                                                           lord-00807 |  807 |                                         Lord |      807 |                                                                     |
|                                                                    via-publica-00808 |  808 |                                  Via Pública |      808 |                                                                     |
|                                                                    auto-vinhas-00809 |  809 |                                  Auto Vinhas |      809 |                                                                     |
|                                                            volante-de-celorico-00810 |  810 |                          Volante de Celorico |      810 |                                                                     |
|                                                                     d-fernando-00811 |  811 |                                  D. Fernando |      811 |                                                                     |
|                                                                        bejense-00812 |  812 |                                      Bejense |      812 |                                                                     |
|                                                                    auto-cabril-00813 |  813 |                                  Auto Cabril |      813 |                                                                     |
|                                                                           alfa-00814 |  814 |                                         Alfa |      814 |                                                                     |
|                                                                       almansor-00815 |  815 |                                     Almansor |      815 |                                                                     |
|                                                                       memorial-00816 |  816 |                                     Memorial |      816 |                                                                     |
|                                                                     feira-nova-00817 |  817 |    Feira Nova – Ensino da Condução Automóvel |      817 |                                                                     |
|                                                                           galo-00818 |  818 |                                         Galo |      818 |                                                                     |
|                                                                    a-realidade-00819 |  819 |                                    Realidade |      819 |                                                                     |
|                                                                      margaride-00820 |  820 |                                    Margaride |      820 |                                                                     |
|                                                                    a-paredense-00821 |  821 |                                  A Paredense |      821 |                                                                     |
|                                                              senhora-aparecida-00822 |  822 |                            Senhora Aparecida |      822 |                                                                     |
|                                                                          mileu-00824 |  824 |                                     Do Mileu |      824 |                                                                     |
|                                                                        eurovia-00825 |  825 |                                      Eurovia |      825 |                                                                     |
|                                                                  volante-livre-00827 |  827 |                                Volante Livre |      827 |                                                                     |
|                                                           vila-de-adoscunhados-00828 |  828 |                    Da Vila de A-dos-Cunhados |      828 |                                                                     |
|                                                                          geres-00829 |  829 |                                        Gerês |      829 |                                                                     |
|                                                                      douro-sul-00830 |  830 |                                    Douro Sul |      830 |                                                                     |
|                                                                   reis-armamar-00830 |  830 |                                              |          |                                license 830 is 'Douro Sul' in imt.pt |
|                                                                 dinamica-drive-00831 |  831 |                               Dinâmica Drive |      831 |                                                                     |
|                                                                      carregado-00832 |  832 |                                    Carregado |      832 |                                                                     |
|                                                                    reta-segura-00833 |  833 |                                  Reta Segura |      833 |                                                                     |
|                                                                         viazul-00835 |  835 |                                       Viazul |      835 |                                                                     |
|                                                                      o-volante-00836 |  836 |                                    O Volante |      836 |                                                                     |
|                                                                       terrugem-00837 |  837 |                                     Terrugem |      837 |                                                                     |
|                                                                        rosinha-00838 |  838 |                                      Rosinha |      838 |                                                                     |
|                                                                    ze-ferreira-00839 |  839 |                                  Zé Ferreira |      839 |                                                                     |
|                                                                        avintes-00840 |  840 |                                      Avintes |      840 |                                                                     |
|                                                                      paionense-00841 |  841 |                                    Paionense |      841 |                                                                     |
|                                                                         duarte-00842 |  842 |                                       Duarte |      842 |                                                                     |
|                                                                  vale-do-caima-00843 |  843 |                                              |          |                                                                     |
|                                                                      s-gualter-00844 |  844 |                                   S. Gualter |      844 |                                                                     |
|                                                            s-martinho-do-bispo-00845 |  845 |                         S. Martinho do Bispo |      845 |                                                                     |
|                                                                  ponte-de-lima-00846 |  846 |                                Ponte de Lima |      846 |                                                                     |
|                                                                         varzim-00847 |  847 |                                              |          |                                                                     |
|                                                                sargaco-sargaco-00848 |  848 |                                              |          |                                                                     |
|                                                                   quatro-rodas-00849 |  849 |                                 Quatro Rodas |      849 |                                                                     |
|                                                                     rodoviaria-00850 |  850 |                                   Rodoviária |      850 |                                                                     |
|                                                                  sousa-batista-00851 |  851 |                              Sousa e Batista |      851 |              two profiles with same name and nec and both archived. |
|                                                                          campo-00852 |  852 |                                        Campo |      852 |                                                                     |
|                                                                   aguas-santas-00853 |  853 |                                 Águas Santas |      853 |                                                                     |
|                                      e-formacao-profissional-da-marinha-grande-00854 |  854 |                                              |          |                               license 854 is 'Monte Real' in imt.pt |
|                                                   batalhense-da-marinha-grande-00855 |  855 |                 Batalhense da Marinha Grande |      855 |                                                                     |
|                                                                   freamundense-00856 |  856 |                                 Freamundense |      856 |                                                                     |
|                                                                       destinus-00857 |  857 |                                     Destinus |      857 |                                                                     |
|                                                                      atlantica-00858 |  858 |                                    Atlântica |      858 |                                                                     |
|                                                                        serrana-00859 |  859 |                                      Serrana |      859 |                                                                     |
|                                                              quinta-da-piedade-00861 |  861 |                         Da Quinta da Piedade |      861 |                                                                     |
|                                                              arcos-de-valdevez-00862 |  862 |                            Arcos de Valdevez |      862 |                                                                     |
|                                                                     portugalia-00863 |  863 |                                   Portugália |      863 |                                                                     |
|                                                                         trinca-00864 |  864 |                                       Trinca |      864 |                                                                     |
|                                                                       princesa-00865 |  865 |                                     Princesa |      865 |                                                                     |
|                                                            termas-de-s-vicente-00866 |  866 |                         Termas de S. Vicente |      866 |                                                                     |
|                                                                         cister-00867 |  867 |                                       Cister |      867 |                                                                     |
|                                                                       d-carlos-00868 |  868 |                                    D. Carlos |      868 |                                                                     |
|                                                                        d-dinis-00869 |  869 |                                     D. Dinis |      869 |                                                                     |
|                                                                  do-tortosendo-00870 |  870 |                                Tortosendense |      870 |                                                                     |
|                                                                          atlas-00871 |  871 |                                        Atlas |      871 |                                                                     |
|                                                           batalhense-de-leiria-00872 |  872 |                         Batalhense de Leiria |      872 |                                                                     |
|                                                                     egas-moniz-00873 |  873 |                                   Egas Moniz |      873 |                                                                     |
|                                                                        algarve-00874 |  874 |                                              |          |                                                                     |
|                                                                   ermesindense-00875 |  875 |                                 Ermesindense |      875 |                                                                     |
|                                                               ideal-de-paredes-00876 |  876 |                             Ideal de Paredes |      876 |                                                                     |
|                                                  auto-dinamica-ribeira-de-pena-00877 |  877 |              Auto Dinâmica - Ribeira de Pena |      877 |                                                                     |
|                                                                 castelo-branco-00879 |  879 |                               Castelo Branco |      879 |                                                                     |
|                                                                  monte-redondo-00880 |  880 |                                Monte Redondo |      880 |                                                                     |
|                                                               coimbra-do-forte-00881 |  881 |                             Coimbra do Forte |      881 |                                                                     |
|                                                                     via-rapida-00882 |  882 |                                   Via Rápida |      882 |                                                                     |
|                                                                      alta-roda-00883 |  883 |                                    Alta Roda |      883 |                                                                     |
|                                                                    alternativa-00884 |  884 |                                  Alternativa |      884 |                                                                     |
|                                                                       milenium-00885 |  885 |                                     Milénium |      885 |                                                                     |
|                                                                         vermar-00887 |  887 |                                       Vermar |      887 |                                                                     |
|                                                               coimbra-da-povoa-00889 |  889 |               Coimbra da Póvoa de Santa Iria |      889 |                                                                     |
|                                                                     ribeirense-00890 |  890 |                                   Ribeirense |      890 |                                                                     |
|                                                            coimbra-de-vialonga-00891 |  891 |                          Coimbra de Vialonga |      891 |                                                                     |
|                                                                americo-e-pires-00892 |  892 |                              Américo e Pires |      892 |                                                                     |
|                                                                          x2000-00893 |  893 |                                       X 2000 |      893 |                                                                     |
|                                              auto-volante-das-serras-de-ansiao-00894 |  894 |            Auto Volante das Serras de Ansião |      894 |                                                                     |
|                                                          memmartins-d-afonso-v-00895 |  895 |                    Mem Martins – D. Afonso V |      895 |                                                                     |
|                                                           a-moderna-de-lustosa-00896 |  896 |                         A Moderna de Lustosa |      896 |                                                                     |
|                                                                      saliscruz-00897 |  897 |                                    Salizcruz |      897 |                                                                     |
|                                                                       semaforo-00898 |  898 |                                     Semáforo |      898 |                                                                     |
|                                                                       soutelos-00899 |  899 |                                     Soutelos |      899 |                                                                     |
|                                                        armando-machado-da-cruz-00900 |  900 |                                              |          |                            Dup grand-tour-00900. Data stops @ 2019. |
|                                                                     grand-tour-00900 |  900 |                Escola de Condução Grand Tour |      900 |                                                                     |
|                                                                   armando-cruz-00901 |  901 |                                 Armando Cruz |      901 |                                                                     |
|                                                                     ancorensis-00902 |  902 |                                   Ancorensis |      902 |                                                                     |
|                                                                     freamundus-00903 |  903 |                                   Freamundus |      903 |                                                                     |
|                                                         jorge-justino-almeirim-00904 |  904 |                       Jorge Justino-Almeirim |      904 |                                                                     |
|                                                                       ze-manel-00906 |  906 |                                     Zé Manel |      906 |                                                                     |
|                                                            infante-de-almancil-00907 |  907 |                          Infante de Almancil |      907 |                                                                     |
|                                                                     roda-livre-00908 |  908 |                                   Roda Livre |      908 |                                                                     |
|                                                                nova-de-esmoriz-00909 |  909 |                              Nova de Esmoriz |      909 |                                                                     |
|                                                                            100-00910 |  910 |                                              |          |                                                                     |
|                                                                          margo-00911 |  911 |                                        Margô |      911 |                                                                     |
|                                                               bordalo-pinheiro-00913 |  913 |                             Bordalo Pinheiro |      913 |                                                                     |
|                                                                        fonseca-00914 |  914 |                                              |          |                                   license 914 is 'Aliada' in imt.pt |
|                                                                     nova-moita-00915 |  915 |                                   Nova Moita |      915 |                                                                     |
|                                                                          elite-00916 |  916 |                                        Elite |      916 |                                                                     |
|                                                             santa-luzia-darque-00917 |  917 |                          Santa Luzia –Darque |      917 |                                                                     |
|                                                                    volantiarte-00918 |  918 |                                  Volantiarte |      918 |                                                                     |
|                                                                      mirobriga-00920 |  920 |                                    Miróbriga |      920 |                                                                     |
|                                                                maia-e-ferreira-00921 |  921 |                              Maia e Ferreira |      921 |                                                                     |
|                                                                       europeia-00923 |  923 |                                     Europeia |      923 |                                                                     |
|                                                                baixa-de-lisboa-00924 |  924 |                              Baixa de Lisboa |      924 |                                                                     |
|                                                                   sao-bernardo-00925 |  925 |                                 São Bernardo |      925 |                                                                     |
|                                                                bom-jesus-lomar-00926 |  926 |                            Bom Jesus - Lomar |      926 |                                                                     |
|                                                                     a-citadina-00927 |  927 |                                   A Citadina |      927 |                                                                     |
|                                                                      esco-2000-00928 |  928 |                                    Esco 2000 |      928 |                                                                     |
|                                                              auto-vilaverdense-00929 |  929 |                            Auto Vilaverdense |      929 |                                                                     |
|                                                                  santa-eulalia-00930 |  930 |                                Santa Eulália |      930 |                                                                     |
|                                                           j-guerreio-e-batista-00931 |  931 |                       J. Guerreiro e Batista |      931 |                                                                     |
|                                                           nossa-senhora-da-paz-00932 |  932 |                         Nossa Senhora da Paz |      932 |                                                                     |
|                                                                     tecnidrive-00934 |  934 |                                   Tecnidrive |      934 |                                                                     |
|                                                                 gondomar-jovem-00935 |  935 |                               Gondomar Jovem |      935 |                                                                     |
|                                                               volante-do-minho-00936 |  936 |                             Volante do Minho |      936 |                                                                     |
|                                                                  pedras-rubras-00937 |  937 |                                Pedras Rubras |      937 |                                                                     |
|                                                                      via-douro-00938 |  938 |                                    Via Douro |      938 |                                                                     |
|                                                                     pacos-nova-00939 |  939 |                                   Paços Nova |      939 |                                                                     |
|                                                               jardim-de-radial-00940 |  940 |                             Jardim do Radial |      940 |                                                                     |
|                                                             cidade-do-barreiro-00942 |  942 |                           Cidade do Barreiro |      942 |                                                                     |
|                                                               terceiro-milenio-00943 |  943 |                             Terceiro Milénio |      943 |                                                                     |
|                                                         santa-marinha-autoagra-00944 |  944 |                     Santa Marinha - Autoagra |      944 |                                                                     |
|                                                                        s-romao-00947 |  947 |                                     S. Romão |      947 |                                                                     |
|                                                               infante-de-evora-00948 |  948 |                             Infante de Évora |      948 |                                                                     |
|                                                              ideal-alcanedense-00949 |  949 |                            Ideal Alcanedense |      949 |                                                                     |
|                                                                    ericeirense-00950 |  950 |                                  Ericeirense |      950 |                                                                     |
|                                                                            vip-00951 |  951 |                                          VIP |      951 |                                                                     |
|                                                          s-cristovao-do-freixo-00952 |  952 |                       S. Cristóvão do Freixo |      952 |                                                                     |
|                                                                   independente-00953 |  953 |                                 Independente |      953 |                                                                     |
|                                                                     ponte-nova-00954 |  954 |                                   Ponte Nova |      954 |                                                                     |
|                                                                        litoral-00955 |  955 |                                      Litoral |      955 |                                                                     |
|                                                                        alcaide-00956 |  956 |                                      Alcaide |      956 |                                                                     |
|                                                               cunha-e-ferreira-00957 |  957 |                             Cunha e Ferreira |      957 |                                                                     |
|                                                                        a-gruta-00958 |  958 |                                      A Gruta |      958 |                                                                     |
|                                                        nossa-senhora-de-fatima-00959 |  959 |                      Nossa Senhora de Fátima |      959 |                                                                     |
|                                                                          sport-00960 |  960 |                                        Sport |      960 |                                                                     |
|                                                            batalhense-alcobaca-00961 |  961 |                       Batalhense de Alcobaça |      961 |                                                                     |
|                                                             semaforo-da-damaia-00963 |  963 |                           Semáforo da Damaia |      963 |                                                                     |
|                                                                 flor-do-zezere-00965 |  965 |                                              |          |                                                                     |
|                                                                        mundial-00966 |  966 |                                      Mundial |      966 |                                                                     |
|                                                                        guiarte-00967 |  967 |    Guiarte de José Manuel Moreira e Carvalho |      967 |                                                                     |
|                                                                            rys-00968 |  968 |                                        R.Y.S |      968 |                                                                     |
|                                                              granja-do-ulmeiro-00969 |  969 |                            Granja do Ulmeiro |      969 |                                                                     |
|                                                                      euro-2000-00970 |  970 |                                    Euro 2000 |      970 |                                                                     |
|                                                                 triangulo-azul-00971 |  971 |                               Triângulo Azul |      971 |                                                                     |
|                                                                        recarei-00972 |  972 |                                      Recarei |      972 |                                                                     |
|                                                              novais-unipessoal-00973 |  973 |                            Novais Unipessoal |      973 |                                                                     |
|                                                                        conduir-00974 |  974 |                                      Conduir |      974 |                                                                     |
|                                                                          vouga-00976 |  976 |                                        Vouga |      976 |                                                                     |
|                                                              infante-de-queluz-00977 |  977 |                            Infante de Queluz |      977 |                                                                     |
|                                                                    nova-almada-00978 |  978 |                                  Nova Almada |      978 |                                                                     |
|                                                                   rio-de-mouro-00979 |  979 |                                 Rio de Mouro |      979 |                                                                     |
|                                                                     saber-mais-00980 |  980 |                                   Saber Mais |      980 |                                                                     |
|                                                                            ajs-00981 |  981 |                  AJS de Aurora e José Sereno |      981 |                                                                     |
|                                                                  miguel-angelo-00982 |  982 |                                Miguel Ângelo |      982 |                                                                     |
|                                                                         maxima-00983 |  983 |                                       Máxima |      983 |                                                                     |
|                                                                       caravela-00984 |  984 |                                     Caravela |      984 |                                                                     |
|                                                                         carbar-00985 |  985 |                                       Carbar |      985 |                                                                     |
|                                                                       campense-00986 |  986 |                                     Campense |      986 |                                                                     |
|                                                                     cinfanense-00989 |  989 |                                   Cinfanense |      989 |                                                                     |
|                                                                       cruzeiro-00990 |  990 |                                     Cruzeiro |      990 |                                                                     |
|                                                                        freitas-00991 |  991 |                                      Freitas |      991 |                                                                     |
|                                                                     vieira-foz-01000 | 1000 |                                              |          |                                                                     |
|                                                                 auto-formadora-01001 | 1001 |                               Auto Formadora |     1001 |                                                                     |
|                                                         merces-serra-das-minas-01003 | 1003 |                       Mercês-Serra das Minas |     1003 |                                                                     |
|                                                                        lidador-01004 | 1004 |                                      Lidador |     1004 |                                                                     |
|                                                                          gilao-01005 | 1005 |                                              |          |                                                                     |
|                                                                     carlos-vaz-01007 | 1007 |                                              |          |                        1007 is 'Auto Flor'. Carlos Vaz is archived. |
|                                                                      dom-pedro-01008 | 1008 |                                              |          |                                   license 1008 is 'Prina' in imt.pt |
|                                                                       do-algoz-01009 | 1009 |                                     Do Algoz |     1009 |                                                                     |
|                                                                     rio-vizela-01011 | 1011 |                                   Rio Vizela |     1011 |                                                                     |
|                                                                        bagagem-01012 | 1012 |                                      Bagagem |     1012 |                                                                     |
|                                                                   corroios-pmr-01013 | 1013 |                                 Corroios PMR |     1013 |                                                                     |
|                                                                rota-da-estrela-01014 | 1014 |                              Rota da Estrela |     1014 |                                                                     |
|                                                                          faial-01015 | 1015 |                                        Faial |     1015 |                                                                     |
|                                                                           onda-01016 | 1016 |                                         Onda |     1016 |                                                                     |
|                                                       moleiro-amaro-e-oliveira-01017 | 1017 |                    Moleiro, Amaro e Oliveira |     1017 |                                                                     |
|                                                                       lanheses-01018 | 1018 |                                     Lanheses |     1018 |                                                                     |
|                                                                          tires-01020 | 1020 |                                     De Tires |     1020 |                                                                     |
|                                                                         prisma-01021 | 1021 |                                              |          |                                                                     |
|                                                                    penedonense-01022 | 1022 |                                  Penedonense |     1022 |                                                                     |
|                                                                      novo-rumo-01023 | 1023 |                                    Novo Rumo |     1023 |                                                                     |
